Date/heure;O3;NO2;CO;PM10
06.07.2005;47.8;38.0;0.50;
07.07.2005;48.1;33.8;0.41;14.8
08.07.2005;67.4;41.6;0.49;20.9
09.07.2005;70.6;41.8;0.60;19.6
10.07.2005;88.0;32.9;0.48;16.9
11.07.2005;70.4;47.6;0.59;
12.07.2005;85.7;50.0;0.54;27.0
13.07.2005;89.5;62.8;0.68;30.8
14.07.2005;118.8;64.8;0.71;36.6
15.07.2005;126.3;60.7;0.64;36.4
16.07.2005;126.0;54.6;0.57;35.0
17.07.2005;137.7;37.4;0.46;33.8
18.07.2005;130.0;45.6;0.48;
19.07.2005;74.9;30.8;0.30;
20.07.2005;86.8;25.7;0.26;27.9
21.07.2005;80.0;28.6;0.34;
22.07.2005;115.7;39.9;0.42;30.8
23.07.2005;88.0;32.0;0.38;22.1
24.07.2005;82.4;31.4;0.41;21.1
25.07.2005;78.8;39.1;0.50;43.2
26.07.2005;88.4;38.1;0.52;30.8
27.07.2005;111.5;55.2;0.73;41.7
28.07.2005;126.9;61.2;0.73;45.2
29.07.2005;113.1;60.6;0.59;44.1
30.07.2005;92.8;29.7;0.39;14.6
31.07.2005;89.6;22.1;0.31;17.3
01.08.2005;81.2;33.3;0.46;29.2
02.08.2005;54.5;49.1;0.47;24.3
03.08.2005;42.1;54.5;0.67;27.1
04.08.2005;70.4;44.1;0.54;26.0
05.08.2005;84.8;40.1;0.46;27.8
06.08.2005;74.8;34.7;0.43;16.7
07.08.2005;79.1;22.1;0.28;14.1
08.08.2005;72.3;33.0;0.43;20.2
09.08.2005;88.5;43.7;0.55;26.1
10.08.2005;119.2;49.7;0.58;28.3
11.08.2005;86.1;56.1;0.63;31.6
12.08.2005;86.7;45.4;0.51;26.0
13.08.2005;75.7;35.9;0.48;20.9
14.08.2005;68.6;26.7;0.38;14.4
15.08.2005;42.9;40.2;0.53;49.8
16.08.2005;58.7;44.0;0.64;17.9
17.08.2005;70.6;46.9;0.63;31.2
18.08.2005;109.1;48.3;0.71;33.9
19.08.2005;88.4;46.4;0.58;29.7
20.08.2005;62.9;44.2;0.60;17.9
21.08.2005;44.4;33.2;0.44;13.8
22.08.2005;56.1;42.6;0.50;24.4
23.08.2005;84.0;48.4;0.60;38.0
24.08.2005;73.7;43.0;0.61;25.9
25.08.2005;67.4;43.1;0.57;27.6
26.08.2005;79.8;40.6;0.52;23.7
27.08.2005;76.7;39.9;0.55;24.4
28.08.2005;68.6;41.7;0.60;19.3
29.08.2005;74.1;49.3;0.75;32.4
30.08.2005;97.1;59.8;0.87;34.4
31.08.2005;99.7;58.2;0.84;34.7
01.09.2005;112.8;57.6;0.77;38.1
02.09.2005;92.4;64.2;0.84;47.7
03.09.2005;89.5;48.3;0.68;42.8
04.09.2005;90.5;31.8;0.52;42.4
05.09.2005;91.8;47.8;0.65;40.6
06.09.2005;78.0;58.1;0.71;26.3
07.09.2005;95.8;56.5;0.77;34.3
08.09.2005;93.7;60.2;0.81;35.2
09.09.2005;84.0;49.0;0.62;29.1
10.09.2005;47.1;44.1;0.67;18.1
11.09.2005;58.4;30.8;0.41;11.7
12.09.2005;53.1;42.3;0.60;23.0
13.09.2005;62.6;42.3;0.66;23.1
14.09.2005;63.7;45.1;0.66;29.4
15.09.2005;77.8;47.7;0.78;29.4
16.09.2005;93.5;38.9;0.49;26.6
17.09.2005;53.7;32.8;0.50;7.6
18.09.2005;42.7;26.6;0.48;12.9
19.09.2005;43.0;35.9;0.55;24.0
20.09.2005;32.9;49.9;0.86;29.4
21.09.2005;46.4;56.0;0.89;31.5
22.09.2005;;53.3;0.96;40.0
23.09.2005;82.2;53.1;0.91;42.6
24.09.2005;97.4;55.4;0.85;32.8
25.09.2005;104.0;35.6;0.52;28.0
26.09.2005;74.6;47.8;0.68;30.5
27.09.2005;32.8;54.9;0.84;45.3
28.09.2005;79.1;38.0;0.53;33.3
29.09.2005;46.2;37.2;0.40;24.5
30.09.2005;41.6;48.5;0.71;29.8
01.10.2005;46.9;35.8;0.65;21.5
02.10.2005;56.1;40.1;0.53;9.7
03.10.2005;48.6;47.4;0.73;16.8
04.10.2005;27.5;40.4;0.84;19.8
05.10.2005;36.7;37.6;0.78;26.5
06.10.2005;22.7;44.7;1.05;33.5
07.10.2005;42.6;37.7;0.98;39.0
08.10.2005;72.8;43.2;0.90;33.3
09.10.2005;63.8;43.9;0.80;22.8
10.10.2005;43.9;55.6;0.98;30.9
11.10.2005;53.0;57.2;0.98;40.6
12.10.2005;71.6;55.5;0.96;48.2
13.10.2005;48.3;58.4;1.02;48.1
14.10.2005;48.9;58.8;1.00;47.4
15.10.2005;29.3;36.4;0.79;48.2
16.10.2005;27.5;29.3;0.58;33.8
17.10.2005;13.0;40.9;0.76;39.9
18.10.2005;7.7;40.5;0.73;50.0
19.10.2005;7.9;38.1;1.02;49.2
20.10.2005;24.1;45.0;1.16;44.9
21.10.2005;31.1;43.9;0.90;36.7
22.10.2005;29.7;44.3;1.11;24.0
23.10.2005;47.9;37.9;0.57;12.4
24.10.2005;31.3;39.2;0.79;31.5
25.10.2005;31.3;48.1;0.81;52.5
26.10.2005;18.2;63.7;1.09;27.1
27.10.2005;25.8;63.9;1.26;33.2
28.10.2005;45.4;58.7;1.15;36.0
29.10.2005;51.6;52.7;0.89;31.9
30.10.2005;58.8;42.1;0.98;31.8
31.10.2005;28.2;59.5;1.29;45.2
01.11.2005;43.6;59.3;0.98;33.1
02.11.2005;10.5;54.4;1.07;34.7
03.11.2005;32.9;54.3;1.13;35.6
04.11.2005;43.9;48.0;0.81;31.2
05.11.2005;49.4;40.3;0.73;14.6
06.11.2005;24.5;29.6;0.64;23.1
07.11.2005;14.4;41.1;1.07;27.9
08.11.2005;5.4;37.8;1.06;40.6
09.11.2005;7.9;43.1;1.14;38.9
10.11.2005;13.3;56.3;1.23;41.9
11.11.2005;29.9;52.9;1.19;46.0
12.11.2005;30.7;51.3;1.03;41.9
13.11.2005;25.5;31.6;0.92;38.1
14.11.2005;15.6;42.5;0.92;33.2
15.11.2005;14.7;45.5;0.96;46.3
16.11.2005;40.1;49.5;0.85;35.3
17.11.2005;59.2;50.1;0.65;23.2
18.11.2005;43.0;62.3;0.95;30.7
19.11.2005;33.3;46.6;0.79;36.8
20.11.2005;29.6;43.3;0.82;38.9
21.11.2005;8.9;65.4;1.36;47.0
22.11.2005;35.3;54.9;0.72;22.2
23.11.2005;31.0;46.8;0.71;20.6
24.11.2005;33.0;44.4;0.71;40.5
25.11.2005;41.7;56.8;0.65;27.7
26.11.2005;38.6;64.8;0.95;46.5
27.11.2005;47.0;48.0;0.74;37.0
28.11.2005;51.7;59.3;0.82;27.2
29.11.2005;12.1;72.2;1.17;44.6
30.11.2005;4.1;66.9;1.16;42.9
01.12.2005;16.1;72.4;1.18;62.1
02.12.2005;15.5;71.5;1.35;87.7
03.12.2005;35.1;69.4;1.28;40.1
04.12.2005;56.6;53.2;1.21;24.4
05.12.2005;65.3;54.2;0.78;24.7
06.12.2005;31.7;63.8;1.07;35.3
07.12.2005;27.1;62.7;1.06;25.5
08.12.2005;21.4;66.6;1.17;31.0
09.12.2005;13.4;54.1;0.80;28.0
10.12.2005;18.7;45.0;0.85;32.3
11.12.2005;27.5;43.6;0.72;34.4
12.12.2005;14.6;62.7;1.19;55.7
13.12.2005;28.4;65.5;1.05;43.2
14.12.2005;23.0;67.2;0.91;30.8
15.12.2005;17.3;75.0;1.22;48.8
16.12.2005;46.3;46.4;0.54;19.0
17.12.2005;61.9;26.3;0.40;14.8
18.12.2005;50.4;36.5;0.58;26.9
19.12.2005;37.8;64.2;0.84;41.0
20.12.2005;22.8;61.2;0.80;32.8
21.12.2005;30.5;59.0;0.88;52.9
22.12.2005;33.6;67.1;1.15;55.1
23.12.2005;11.0;74.3;1.48;60.1
24.12.2005;15.7;50.1;1.24;44.3
25.12.2005;37.7;38.4;0.74;29.4
26.12.2005;33.2;45.9;0.91;29.4
27.12.2005;26.1;49.1;0.75;29.6
28.12.2005;33.6;46.2;0.71;65.8
29.12.2005;25.0;48.7;0.83;31.7
30.12.2005;29.2;56.8;1.02;44.5
31.12.2005;32.7;71.6;1.38;26.6
01.01.2006;66.1;50.4;0.82;15.3
02.01.2006;25.7;46.0;0.67;16.1
03.01.2006;42.8;60.5;0.91;23.5
04.01.2006;30.1;52.4;0.76;30.0
05.01.2006;33.9;59.5;0.97;56.1
06.01.2006;15.4;54.6;0.96;67.0
07.01.2006;16.1;51.9;0.95;78.1
08.01.2006;10.6;52.6;1.00;94.0
09.01.2006;11.6;64.5;1.16;77.9
10.01.2006;14.1;61.1;0.96;78.0
11.01.2006;18.7;71.9;1.21;90.1
12.01.2006;11.0;78.7;1.48;97.5
13.01.2006;11.4;95.2;1.58;110.1
14.01.2006;20.3;71.8;1.13;109.2
15.01.2006;23.8;64.4;1.00;84.1
16.01.2006;15.8;85.9;1.32;109.7
17.01.2006;55.9;83.2;1.05;57.2
18.01.2006;61.7;62.3;1.09;23.5
19.01.2006;9.0;57.9;1.10;35.2
20.01.2006;17.7;59.2;0.92;35.3
21.01.2006;59.3;66.7;0.98;38.6
22.01.2006;44.2;50.7;0.86;26.2
23.01.2006;40.0;52.1;0.74;38.9
24.01.2006;39.7;59.7;0.84;66.8
25.01.2006;14.9;78.1;1.39;91.7
26.01.2006;35.9;68.0;0.92;62.1
27.01.2006;18.2;61.9;0.90;108.7
28.01.2006;13.3;68.7;1.24;118.5
29.01.2006;32.1;60.8;1.24;105.7
30.01.2006;34.6;76.3;1.35;139.6
31.01.2006;19.1;95.2;1.66;164.1
01.02.2006;11.3;91.9;1.45;110.2
02.02.2006;15.1;88.6;1.31;112.8
03.02.2006;11.1;90.4;1.33;148.2
04.02.2006;10.2;84.5;1.06;109.4
05.02.2006;18.5;74.4;1.03;84.1
06.02.2006;31.1;67.9;1.03;82.6
07.02.2006;26.3;69.8;0.97;83.4
08.02.2006;51.3;57.0;0.55;43.6
09.02.2006;47.1;49.9;0.54;22.7
10.02.2006;66.1;50.3;0.56;40.3
11.02.2006;40.7;55.0;0.91;38.8
12.02.2006;56.9;44.6;0.70;47.2
13.02.2006;38.0;73.8;1.04;91.6
14.02.2006;28.9;89.3;1.25;106.7
15.02.2006;41.3;69.8;0.89;46.8
16.02.2006;67.3;54.7;0.63;19.4
17.02.2006;76.7;59.0;0.69;16.6
18.02.2006;62.7;44.5;0.56;13.7
19.02.2006;46.3;47.0;0.83;26.1
20.02.2006;44.6;65.6;0.86;29.4
21.02.2006;49.6;75.7;1.15;35.7
22.02.2006;19.6;66.2;0.94;60.4
23.02.2006;20.5;46.9;0.68;65.7
24.02.2006;26.0;55.2;0.78;59.7
25.02.2006;29.1;49.3;0.79;84.1
26.02.2006;47.6;37.8;0.64;58.2
27.02.2006;52.6;54.7;0.70;34.2
28.02.2006;60.5;56.3;0.66;35.1
01.03.2006;64.0;44.0;0.46;30.0
02.03.2006;59.4;64.5;0.75;35.6
03.03.2006;70.9;45.1;0.49;18.4
04.03.2006;77.1;39.5;0.55;10.2
05.03.2006;73.3;43.9;0.56;15.0
06.03.2006;71.5;58.5;0.59;31.0
07.03.2006;72.3;53.6;0.56;30.1
08.03.2006;53.9;82.9;1.02;32.1
09.03.2006;67.5;36.6;0.36;16.3
10.03.2006;79.8;49.5;0.52;21.0
11.03.2006;74.2;37.8;0.55;12.3
12.03.2006;83.5;29.1;0.54;24.0
13.03.2006;82.9;68.4;0.79;50.9
14.03.2006;83.9;77.4;0.77;69.4
15.03.2006;81.6;71.4;0.79;95.8
16.03.2006;67.6;64.3;0.71;98.3
17.03.2006;70.0;60.8;0.71;101.8
18.03.2006;84.0;47.4;0.68;90.0
19.03.2006;102.9;60.0;0.81;88.0
20.03.2006;94.5;78.3;0.99;106.7
21.03.2006;45.3;70.1;0.99;72.1
22.03.2006;57.4;69.8;0.89;47.8
23.03.2006;;52.7;0.64;35.9
24.03.2006;22.6;64.1;1.01;53.2
25.03.2006;75.3;39.7;0.55;18.4
26.03.2006;75.8;44.7;0.61;14.4
27.03.2006;62.9;52.3;0.60;24.6
28.03.2006;84.0;57.1;0.58;14.4
29.03.2006;79.6;44.9;0.45;15.5
30.03.2006;33.1;74.2;0.97;24.7
31.03.2006;73.3;54.6;0.60;20.4
01.04.2006;70.6;45.5;0.50;25.0
02.04.2006;82.1;36.0;0.55;23.5
03.04.2006;80.3;42.7;0.43;17.6
04.04.2006;83.9;56.0;0.63;26.7
05.04.2006;80.6;61.7;0.72;13.6
06.04.2006;71.6;67.2;0.71;22.8
07.04.2006;100.7;64.8;0.77;37.4
08.04.2006;111.4;53.4;0.65;34.5
09.04.2006;74.0;43.4;0.55;17.9
10.04.2006;70.5;65.2;1.32;15.8
11.04.2006;61.9;61.9;1.00;29.4
12.04.2006;58.7;61.5;0.67;29.0
13.04.2006;53.8;63.2;0.73;24.7
14.04.2006;88.6;33.4;0.50;16.8
15.04.2006;42.9;46.9;0.73;27.9
16.04.2006;76.7;37.2;0.49;12.2
17.04.2006;92.4;27.3;0.39;14.7
18.04.2006;70.1;50.6;0.57;24.7
19.04.2006;86.1;66.5;0.70;36.5
20.04.2006;106.5;59.5;0.66;36.0
21.04.2006;95.9;70.5;0.75;32.7
22.04.2006;121.4;41.1;0.53;24.1
23.04.2006;97.5;37.1;0.47;18.5
24.04.2006;86.6;55.5;0.60;24.7
25.04.2006;84.7;66.4;0.82;33.9
26.04.2006;56.9;63.0;0.71;20.6
27.04.2006;41.4;60.9;0.78;24.6
28.04.2006;37.5;64.6;0.97;29.2
29.04.2006;77.4;41.6;0.50;30.4
30.04.2006;99.5;36.2;0.47;21.8
01.05.2006;89.2;51.1;0.58;27.1
02.05.2006;89.8;69.4;1.09;37.8
03.05.2006;87.1;73.7;0.76;35.5
04.05.2006;109.8;69.2;0.70;38.7
05.05.2006;57.8;75.6;0.83;30.3
06.05.2006;92.2;40.8;0.53;20.0
07.05.2006;76.4;39.0;0.52;18.8
08.05.2006;77.5;50.2;0.55;25.1
09.05.2006;95.9;46.0;0.49;16.4
10.05.2006;49.8;52.3;0.67;30.1
11.05.2006;84.4;59.8;0.73;38.7
12.05.2006;109.9;52.1;0.63;35.4
13.05.2006;99.3;31.8;0.38;18.5
14.05.2006;92.6;34.2;0.41;14.3
15.05.2006;86.8;51.7;0.59;29.3
16.05.2006;66.4;64.6;0.66;28.5
17.05.2006;83.8;54.3;0.70;34.0
18.05.2006;48.9;67.1;0.72;29.9
19.05.2006;81.9;42.4;0.39;23.9
20.05.2006;70.6;27.9;0.33;18.5
21.05.2006;82.7;25.5;0.34;12.6
22.05.2006;82.0;45.4;0.42;21.2
23.05.2006;86.1;36.9;0.51;18.7
24.05.2006;101.5;38.7;0.42;20.8
25.05.2006;92.3;25.8;0.34;15.4
26.05.2006;75.2;29.9;0.34;19.5
27.05.2006;50.3;20.7;0.32;14.4
28.05.2006;43.3;19.1;0.32;10.7
29.05.2006;71.5;47.6;0.49;14.4
30.05.2006;79.7;34.2;0.34;15.2
31.05.2006;68.5;55.5;0.58;15.9
01.06.2006;66.1;41.1;0.47;22.2
02.06.2006;57.3;55.2;0.56;19.2
03.06.2006;93.4;53.7;0.56;21.8
04.06.2006;87.8;36.0;0.44;23.1
05.06.2006;90.9;34.7;0.41;19.0
06.06.2006;82.8;48.0;0.45;23.2
07.06.2006;76.3;53.8;0.47;23.6
08.06.2006;94.1;59.5;0.52;25.2
09.06.2006;94.8;69.2;0.56;33.6
10.06.2006;123.2;55.6;0.53;27.9
11.06.2006;101.9;47.9;0.48;24.8
12.06.2006;125.3;65.9;0.59;34.7
13.06.2006;130.7;68.9;0.64;43.3
14.06.2006;137.2;59.2;0.55;41.9
15.06.2006;140.3;61.5;0.58;37.3
16.06.2006;118.1;66.9;0.61;48.9
17.06.2006;91.0;42.4;0.51;37.2
18.06.2006;93.5;34.4;0.41;23.1
19.06.2006;90.3;53.6;0.57;36.2
20.06.2006;85.6;61.7;0.61;63.8
21.06.2006;105.7;52.4;0.54;61.2
22.06.2006;72.1;43.3;0.47;29.3
23.06.2006;77.5;54.9;0.64;27.0
